season,vaccine,subtype,strain,excluded_from_high_dose
2016-2017,Fluzone,H1N1,CA/09,False
2016-2017,Fluzone,H3N2,HK/14,False
2016-2017,Fluzone,B-Vic,BR/08,False
2016-2017,Fluzone,B-Yam,PH/13,True
2017-2018,Fluzone,H1N1,MI/15,False
2017-2018,Fluzone,H3N2,HK/14,False
2017-2018,Fluzone,B-Vic,BR/08,False
2017-2018,Fluzone,B-Yam,PH/13,True
2018-2019,Fluzone,H1N1,MI/15,False
2018-2019,Fluzone,H3N2,Sing/16,False
2018-2019,Fluzone,B-Vic,CO/17,False
2018-2019,Fluzone,B-Yam,PH/13,True
2019-2020,Fluzone,H1N1,Bris/18,False
2019-2020,Fluzone,H3N2,KS/17,False
2019-2020,Fluzone,B-Vic,CO/17,False
2019-2020,Fluzone,B-Yam,PH/13,True
2020-2021,Fluzone,H1N1,GD/19,False
2020-2021,Fluzone,H3N2,HK/19,False
2020-2021,Fluzone,B-Vic,WA/19,False
2020-2021,Fluzone,B-Yam,PH/13,False
2021-2022,Fluzone,H1N1,VIC/19,False
2021-2022,Fluzone,H3N2,TAS/20,False
2021-2022,Fluzone,B-Vic,WA/19,False
2021-2022,Fluzone,B-Yam,PH/13,False
2022-2023,Fluzone,H1N1,VIC/19,False
2022-2023,Fluzone,H3N2,DAR/21,False
2022-2023,Fluzone,B-Vic,AUS/21,False
2022-2023,Fluzone,B-Yam,PH/13,False
2023-2024,Fluzone,H1N1,VIC/22,False
2023-2024,Fluzone,H3N2,DAR/21,False
2023-2024,Fluzone,B-Vic,AUS/21,False
2023-2024,Fluzone,B-Yam,PH/13,False
